,name,type,color,_igraph_index,id
442,44861,False,red,2281,2281
443,4491,False,red,2285,2285
444,4522,False,red,2307,2307
445,45437,False,red,2325,2325
446,45606,False,red,2333,2333
447,45622,False,red,2336,2336
448,45625,False,red,2337,2337
449,45664,False,red,2341,2341
450,45741,False,red,2351,2351
451,46051,False,red,2373,2373
452,46250,False,red,2379,2379
453,4657,False,red,2409,2409
454,4660,False,red,2411,2411
455,4686,False,red,2429,2429
456,4694,False,red,2436,2436
457,47171,False,red,2458,2458
458,47274,False,red,2470,2470
459,47886,False,red,2506,2506
460,47892,False,red,2507,2507
461,48103,False,red,2526,2526
462,48171,False,red,2537,2537
463,4818,False,red,2539,2539
464,48331,False,red,2551,2551
465,4845,False,red,2561,2561
466,48539,False,red,2569,2569
467,48815,False,red,2597,2597
468,48894,False,red,2606,2606
469,49595,False,red,2627,2627
470,50748,False,red,2668,2668
471,50766,False,red,2671,2671
472,50855,False,red,2675,2675
473,50899,False,red,2679,2679
474,51092,False,red,2694,2694
475,51368,False,red,2709,2709
476,51534,False,red,2719,2719
477,51775,False,red,2740,2740
478,5202,False,red,2758,2758
479,52062,False,red,2761,2761
480,52291,False,red,2774,2774
481,52363,False,red,2779,2779
482,52374,False,red,2780,2780
483,52407,False,red,2783,2783
484,52559,False,red,2794,2794
485,53083,False,red,2831,2831
486,534,False,red,2851,2851
487,5345,False,red,2853,2853
488,53754,False,red,2869,2869
489,53766,False,red,2870,2870
490,53806,False,red,2873,2873
491,53835,False,red,2875,2875
492,53852,False,red,2876,2876
493,53869,False,red,2877,2877
494,53938,False,red,2883,2883
495,54953,False,red,2953,2953
496,54986,False,red,2957,2957
497,54987,False,red,2958,2958
498,55248,False,red,2989,2989
499,5544,False,red,3004,3004
500,55738,False,red,3029,3029
501,55891,False,red,3040,3040
502,5617,False,red,3065,3065
503,5619,False,red,3066,3066
504,5805,False,red,3225,3225
505,5917,False,red,3296,3296
506,5953,False,red,3319,3319
507,6022,False,red,3355,3355
508,6049,False,red,3376,3376
509,6251,False,red,3517,3517
510,6547,False,red,3702,3702
511,6561,False,red,3713,3713
512,6583,False,red,3728,3728
513,6744,False,red,3837,3837
514,6757,False,red,3848,3848
515,6793,False,red,3864,3864
516,6824,False,red,3895,3895
517,6972,False,red,3976,3976
518,7007,False,red,3992,3992
519,711,False,red,4063,4063
520,7160,False,red,4094,4094
521,7169,False,red,4101,4101
522,7316,False,red,4172,4172
523,7381,False,red,4200,4200
524,7402,False,red,4213,4213
525,7452,False,red,4235,4235
526,7488,False,red,4253,4253
527,7550,False,red,4269,4269
528,7616,False,red,4285,4285
529,7657,False,red,4306,4306
530,7726,False,red,4334,4334
531,7734,False,red,4337,4337
532,7873,False,red,4398,4398
533,7921,False,red,4421,4421
534,7944,False,red,4430,4430
535,8129,False,red,4538,4538
536,8136,False,red,4547,4547
537,8147,False,red,4555,4555
538,8204,False,red,4592,4592
539,8246,False,red,4624,4624
540,8323,False,red,4653,4653
541,8324,False,red,4655,4655
542,8333,False,red,4662,4662
543,8367,False,red,4679,4679
544,8369,False,red,4681,4681
545,8492,False,red,4745,4745
546,8549,False,red,4774,4774
547,8602,False,red,4816,4816
548,8657,False,red,4860,4860
549,8684,False,red,4877,4877
550,8722,False,red,4899,4899
551,8764,False,red,4927,4927
552,8847,False,red,4981,4981
553,8881,False,red,5008,5008
554,8891,False,red,5014,5014
555,8991,False,red,5073,5073
556,9014,False,red,5087,5087
557,9025,False,red,5098,5098
558,9036,False,red,5104,5104
559,9064,False,red,5117,5117
560,9070,False,red,5120,5120
561,9167,False,red,5162,5162
562,9282,False,red,5240,5240
563,9284,False,red,5241,5241
564,9543,False,red,5404,5404
565,9715,False,red,5518,5518
566,974,False,red,5537,5537
567,9758,False,red,5544,5544
568,9841,False,red,5611,5611
569,9942,False,red,5659,5659
570,9995,False,red,5694,5694
571,11213,True,blue,5821,5821
572,11846,True,blue,5846,5846
573,12091,True,blue,5851,5851
574,12716,True,blue,5871,5871
575,12920,True,blue,5902,5902
576,13031,True,blue,5921,5921
577,13363,True,blue,5966,5966
578,14769,True,blue,6083,6083
579,15165,True,blue,6109,6109
580,15976,True,blue,6150,6150
581,15986,True,blue,6153,6153
582,15987,True,blue,6154,6154
583,1635,True,blue,6199,6199
584,17089,True,blue,6232,6232
585,1810,True,blue,6258,6258
586,18519,True,blue,6275,6275
587,1867,True,blue,6283,6283
588,19053,True,blue,6315,6315
589,19139,True,blue,6318,6318
590,192,True,blue,6326,6326
591,20836,True,blue,6385,6385
592,21140,True,blue,6398,6398
593,21797,True,blue,6425,6425
594,22822,True,blue,6507,6507
595,2366,True,blue,6587,6587
596,245,True,blue,6640,6640
597,24660,True,blue,6651,6651
598,24699,True,blue,6652,6652
599,24704,True,blue,6655,6655
600,24798,True,blue,6660,6660
601,25376,True,blue,6685,6685
602,25809,True,blue,6708,6708
603,26044,True,blue,6730,6730
604,26052,True,blue,6732,6732
605,26410,True,blue,6754,6754
606,27094,True,blue,6807,6807
607,27359,True,blue,6819,6819
608,27411,True,blue,6824,6824
609,27772,True,blue,6838,6838
610,28125,True,blue,6847,6847
611,28907,True,blue,6884,6884
612,28920,True,blue,6889,6889
613,28936,True,blue,6891,6891
614,29067,True,blue,6900,6900
615,2929,True,blue,6909,6909
616,29334,True,blue,6912,6912
617,29830,True,blue,6934,6934
618,30438,True,blue,6959,6959
619,30441,True,blue,6960,6960
620,30445,True,blue,6961,6961
621,30484,True,blue,6962,6962
622,30653,True,blue,6972,6972
623,30837,True,blue,6984,6984
624,30892,True,blue,6987,6987
625,32109,True,blue,7033,7033
626,32206,True,blue,7039,7039
627,32324,True,blue,7046,7046
628,33853,True,blue,7077,7077
629,36009,True,blue,7132,7132
630,39007,True,blue,7196,7196
631,39159,True,blue,7198,7198
632,39188,True,blue,7202,7202
633,39250,True,blue,7206,7206
634,39307,True,blue,7208,7208
635,40581,True,blue,7242,7242
