ID,Campaign Content - Content → Campaign ID,Campaign Campaign - Campaign → Advertiser ID,Media App Media - Media → Publisher ID
2759473,37134,86987,5199
2759479,37134,86987,83599
2759481,37134,86987,43391
2759478,37134,86987,14387
2759480,37134,86987,86012
2759475,37134,86987,8068
2966923,42186,96431,97329
2966918,42186,96431,13671
2966921,42186,96431,62158
2966917,42186,96431,43990
2966915,42186,96431,19246
2966913,42186,96431,267
2966914,42186,96431,65459
2966916,42186,96431,89063
2966919,42186,96431,61993
2966922,42186,96431,57933
2966920,42186,96431,267
2910599,40805,90315,99058
2855151,39473,85941,43689
2855150,39473,85941,34658
2855149,39473,85941,19246
2865324,39712,23618,11785
2864089,39688,23618,27094
2864090,39688,23618,13308
2851838,39379,95713,13308
2851837,39379,95713,1810
2753097,36957,44130,10183
2854304,39442,85751,264
2854305,39442,85751,11683
2966482,42169,23080,23
2966484,42169,23080,87319
2966485,42169,23080,86220
2966483,42169,23080,6514
2889213,40249,35306,94068
2889214,40249,35306,97179
2889215,40249,35306,101304
2889218,40249,35306,99110
2889217,40249,35306,98002
2889216,40249,35306,93798
2889053,40249,35306,42489
2888981,40249,35306,1867
2889147,40249,35306,69968
2889137,40249,35306,75324
2889064,40249,35306,51483
2889203,40249,35306,95428
2889208,40249,35306,95965
2889176,40249,35306,92765
2889025,40249,35306,100266
2889028,40249,35306,32206
2889098,40249,35306,59618
2889205,40249,35306,95763
2889196,40249,35306,94451
2889156,40249,35306,83927
2889164,40249,35306,88337
2888990,40249,35306,15987
2889171,40249,35306,91556
2889158,40249,35306,84514
2889009,40249,35306,28960
2889161,40249,35306,67984
2889092,40249,35306,58770
2889035,40249,35306,36009
2889125,40249,35306,69113
2889135,40249,35306,61769
2889021,40249,35306,30892
2888995,40249,35306,12091
2889066,40249,35306,54668
2889000,40249,35306,68704
2889094,40249,35306,20836
2889057,40249,35306,28906
2889067,40249,35306,54668
2889187,40249,35306,94115
2889168,40249,35306,90935
2889154,40249,35306,46170
2889123,40249,35306,71795
2889108,40249,35306,61183
2888993,40249,35306,15969
2889201,40249,35306,92488
2888978,40249,35306,7869
2889034,40249,35306,37379
2889058,40249,35306,52125
2889140,40249,35306,58820
2889113,40249,35306,65370
2889078,40249,35306,56893
2889039,40249,35306,71795
2889088,40249,35306,58421
2889152,40249,35306,81744
2889193,40249,35306,94127
2889049,40249,35306,48523
2889087,40249,35306,58176
2889041,40249,35306,30837
2889104,40249,35306,58194
2888968,40249,35306,245
2889097,40249,35306,58820
2889093,40249,35306,58908
2889194,40249,35306,102008
2889211,40249,35306,92488
